init done.
疫情	200051
北京	46190
例	38268
新冠	35960
肺炎	35660
防控	33256
病例	30817
中国	30380
…	30168
工作	27179
想	25988
真的	24465
确诊	24117
时	22513
链接	22459
网页	21033
美国	20842
中	20529
2020	19811
　	19607
爱	18915
希望	18172
时间	18109
做	17574
没	17444
期间	17207
喜欢	16968
新增	16080
情况	15006
24	14878
更	13942
新	13784
国家	13691
影响	13285
全球	13091
口罩	12401
健康	12308
新型	12289
生活	12045
报告	11936
经济	11850
吃	11579
累计	11476
冠状病毒	11283
~	11121
结束	10840
10	10720
发展	10517
输入	10428
武汉	10312
